rainfall_mm,slope_degree,soil_moisture,ground_movement,temperature,risk_label
181.88,33.87,42.8,7.24,17.31,MODERATE
180.27,47.11,51.54,9.99,23.81,MODERATE
71.63,30.26,21.59,6.06,21.41,LOW
86.64,30.01,37.52,9.6,30.95,LOW
158.14,43.12,56.78,9.59,21.1,MODERATE
194.08,30.2,59.08,11.66,24.17,MODERATE
120.68,7.1,41.54,5.62,25.0,LOW
37.97,20.62,20.87,7.39,21.48,LOW
199.8,38.04,66.8,11.84,28.62,MODERATE
150.43,36.27,33.45,8.05,29.87,MODERATE
95.8,33.66,26.43,6.14,21.07,LOW
69.78,32.41,44.97,7.25,25.76,LOW
160.8,23.83,40.34,5.99,18.43,MODERATE
113.86,12.81,44.3,9.38,27.38,LOW
202.72,31.96,65.49,13.21,25.4,MODERATE
202.91,46.33,44.23,10.11,21.82,MODERATE
149.77,29.78,34.07,8.93,25.98,LOW
79.1,35.26,42.52,10.7,27.56,MODERATE
175.32,35.67,45.79,8.3,31.38,MODERATE
50.34,38.32,18.51,6.8,26.38,LOW
127.78,26.5,38.95,6.58,29.33,MODERATE
50.73,35.84,18.4,5.87,35.43,LOW
134.96,34.32,48.9,7.4,17.8,MODERATE
135.66,14.12,35.39,5.1,31.03,LOW
187.7,43.61,40.57,9.29,18.73,MODERATE
189.54,33.04,65.95,9.4,19.72,MODERATE
258.73,49.4,62.86,13.06,23.93,HIGH
166.43,21.88,45.6,6.44,20.12,MODERATE
26.36,21.3,27.44,4.54,19.12,LOW
117.4,20.71,41.39,7.89,23.64,LOW
155.49,41.78,58.11,10.51,22.0,MODERATE
263.78,36.56,79.79,10.45,20.01,HIGH
32.15,23.24,18.45,4.95,18.28,LOW
205.66,41.44,68.42,10.39,32.55,MODERATE
118.6,19.07,42.43,9.49,16.8,MODERATE
135.47,42.65,40.02,8.87,22.99,MODERATE
158.13,46.78,52.11,9.11,30.71,MODERATE
99.48,49.86,26.41,8.14,28.86,MODERATE
226.49,41.85,71.5,12.88,25.4,HIGH
106.52,44.13,44.07,9.61,20.26,MODERATE
40.36,15.96,24.84,6.36,23.89,LOW
217.72,41.72,47.55,8.41,17.26,MODERATE
222.25,34.46,73.13,12.59,22.29,MODERATE
69.68,10.78,33.83,5.9,22.2,LOW
17.08,34.27,18.57,6.87,22.78,LOW
152.76,27.23,47.16,7.13,19.27,MODERATE
191.4,41.91,52.81,11.7,13.82,MODERATE
102.69,26.53,34.84,6.96,31.51,MODERATE
129.45,23.57,49.63,9.19,30.18,MODERATE
38.93,30.95,19.43,5.32,29.25,LOW
64.6,33.92,27.02,5.79,26.27,LOW
221.67,52.24,62.75,10.85,25.02,HIGH
149.31,17.88,47.05,6.46,19.84,MODERATE
157.2,26.31,44.64,7.35,20.48,MODERATE
135.61,49.85,43.47,9.54,32.73,MODERATE
87.09,18.65,36.91,6.0,34.1,LOW
120.02,40.45,34.17,9.54,22.89,MODERATE
151.7,42.61,47.05,8.3,24.02,MODERATE
163.08,41.27,66.33,10.0,28.39,MODERATE
140.1,42.27,45.32,11.14,24.56,MODERATE
103.32,42.41,30.29,7.9,25.01,MODERATE
109.86,33.56,30.79,7.13,23.64,LOW
185.08,35.55,45.6,8.18,18.37,MODERATE
194.65,32.15,70.84,10.08,21.76,MODERATE
203.37,32.55,67.8,9.01,23.2,MODERATE
197.74,26.37,48.19,7.68,8.88,MODERATE
20.77,30.37,21.28,13.54,24.53,LOW
233.56,37.04,76.18,11.05,37.94,HIGH
123.05,24.87,41.75,5.89,21.42,LOW
211.08,48.15,57.51,11.8,24.2,MODERATE
164.46,44.91,69.11,10.78,18.96,HIGH
208.87,36.65,45.71,7.57,17.44,MODERATE
242.34,55.02,89.38,15.63,22.14,HIGH
25.43,22.45,21.07,4.26,27.78,LOW
136.37,45.98,55.32,12.83,22.6,MODERATE
105.3,19.37,28.56,5.1,21.76,LOW
108.14,29.29,32.99,7.61,26.97,MODERATE
154.47,51.78,40.34,9.59,25.2,MODERATE
77.89,6.05,31.33,3.56,25.68,LOW
196.17,28.26,60.62,9.34,31.14,MODERATE
93.6,42.78,44.13,12.56,30.39,MODERATE
112.9,31.39,26.15,7.43,32.97,LOW
277.27,36.3,77.25,11.2,16.72,HIGH
125.51,50.19,49.77,16.01,29.14,MODERATE
32.84,19.66,30.88,4.9,33.87,LOW
174.72,18.83,49.91,5.97,14.2,MODERATE
49.49,22.9,22.46,4.14,23.88,LOW
162.99,49.04,50.12,10.77,20.74,MODERATE
37.49,40.45,24.74,8.68,23.85,LOW
49.11,33.38,36.22,7.75,30.88,LOW
150.72,56.15,38.48,12.22,15.63,MODERATE
13.32,18.44,11.64,4.57,25.47,LOW
122.83,43.29,31.37,7.53,20.61,MODERATE
91.09,22.44,38.46,5.62,31.07,LOW
15.7,22.99,27.27,8.36,26.53,LOW
117.89,36.82,29.57,6.21,23.05,MODERATE
203.7,8.24,60.52,6.84,19.69,MODERATE
284.75,41.8,85.88,11.62,38.0,HIGH
14.5,16.58,24.47,4.09,25.68,LOW
75.54,45.63,37.8,9.14,15.48,MODERATE
118.46,50.97,31.54,8.02,19.14,LOW
81.15,39.25,39.01,10.77,26.48,LOW
70.84,33.74,29.1,6.48,19.62,LOW
186.82,28.67,64.66,9.74,20.36,MODERATE
174.95,26.42,57.08,9.16,29.92,MODERATE
108.37,34.22,32.32,7.73,29.38,MODERATE
81.17,35.92,35.09,9.91,20.57,LOW
131.01,28.03,50.37,7.23,31.03,MODERATE
105.21,19.08,34.1,4.77,19.74,LOW
191.46,10.84,58.15,5.82,34.16,MODERATE
66.1,31.99,18.85,7.86,27.23,LOW
47.39,32.94,29.82,11.11,25.74,LOW
262.7,48.32,72.34,11.16,21.69,HIGH
208.22,29.29,68.12,10.15,20.35,MODERATE
107.88,17.99,42.9,5.24,10.04,LOW
138.57,46.69,42.23,8.36,22.24,MODERATE
152.39,38.65,41.75,8.96,23.94,MODERATE
31.5,48.91,13.32,6.06,13.04,LOW
173.37,39.67,49.08,8.84,28.94,MODERATE
60.91,27.0,35.5,7.17,23.04,LOW
52.02,28.38,12.39,6.01,31.29,LOW
208.99,35.74,52.69,8.7,19.9,MODERATE
114.6,32.25,47.08,8.48,31.42,LOW
135.89,6.85,55.53,6.29,21.31,MODERATE
78.79,41.02,24.47,6.14,23.7,LOW
235.38,44.9,58.41,11.2,25.29,HIGH
138.44,40.26,56.71,8.85,23.75,LOW
287.53,63.29,77.27,12.56,25.83,HIGH
289.35,41.22,71.5,10.74,12.45,HIGH
145.39,7.06,55.34,8.14,23.16,LOW
153.36,13.36,52.77,5.8,23.52,LOW
139.54,37.72,51.59,7.92,12.08,MODERATE
175.6,32.83,46.89,7.21,27.85,MODERATE
107.57,24.52,41.66,6.46,18.53,LOW
15.34,38.74,28.35,7.44,29.65,LOW
38.93,38.06,28.69,6.42,24.52,LOW
197.43,30.16,65.79,10.71,20.55,MODERATE
71.38,34.62,41.93,8.92,30.03,LOW
111.06,44.55,42.85,9.67,33.97,MODERATE
158.21,52.77,45.29,9.9,24.23,MODERATE
121.28,38.05,48.7,8.38,32.25,MODERATE
202.01,48.22,50.6,9.58,22.94,MODERATE
116.16,28.55,38.78,7.01,29.77,MODERATE
205.21,42.99,64.85,9.61,21.8,MODERATE
10.6,27.4,10.0,5.26,34.96,LOW
157.83,28.99,51.74,7.69,30.46,MODERATE
57.03,25.91,29.94,5.37,26.82,LOW
219.06,42.29,54.11,9.05,8.8,MODERATE
146.13,35.71,49.76,7.85,26.69,MODERATE
47.03,33.2,26.87,8.95,16.59,LOW
113.56,36.75,40.25,7.17,26.12,MODERATE
137.66,34.99,54.8,11.1,31.66,MODERATE
13.88,24.78,25.08,5.76,28.13,LOW
164.44,35.88,56.3,11.12,29.15,MODERATE
115.75,44.62,32.27,8.01,21.76,MODERATE
115.91,35.28,40.36,10.7,14.85,MODERATE
4.3,29.43,25.42,5.33,19.37,LOW
189.65,41.93,55.01,9.81,22.02,MODERATE
139.09,13.03,58.03,6.15,23.92,LOW
75.68,38.9,37.0,7.74,31.61,LOW
111.21,18.19,53.14,7.34,28.38,LOW
116.37,35.37,32.06,7.5,37.32,LOW
169.54,40.71,51.06,8.84,17.99,MODERATE
185.33,46.75,55.29,9.22,30.98,MODERATE
165.82,35.57,56.33,9.66,29.25,MODERATE
234.06,42.29,60.59,10.08,23.3,MODERATE
178.89,45.43,41.49,8.08,18.23,MODERATE
188.2,26.66,59.43,11.54,20.31,MODERATE
121.0,35.55,38.69,11.32,20.02,MODERATE
154.23,28.26,45.17,9.35,34.26,MODERATE
261.57,40.24,67.0,12.17,28.97,MODERATE
54.9,16.11,28.07,4.01,29.19,LOW
213.36,31.87,53.32,14.99,24.53,MODERATE
26.12,50.41,19.19,7.34,22.63,LOW
158.22,34.16,43.18,7.14,26.02,MODERATE
113.51,26.51,35.1,7.97,24.61,LOW
186.24,35.76,58.8,8.66,23.42,MODERATE
128.36,27.61,48.45,7.76,26.2,MODERATE
127.56,57.93,40.61,9.25,17.6,MODERATE
291.7,46.14,86.92,12.53,25.6,HIGH
156.67,43.26,41.68,8.89,23.34,MODERATE
18.1,32.67,10.0,4.95,19.71,LOW
97.69,31.93,25.8,5.36,27.84,LOW
63.82,24.18,20.44,5.05,34.77,LOW
92.04,38.02,24.75,6.73,31.67,LOW
14.74,43.57,34.41,7.57,22.3,LOW
62.92,29.34,16.44,8.07,27.99,LOW
92.46,20.91,42.84,6.33,29.06,LOW
117.58,42.57,40.67,10.5,24.72,MODERATE
271.16,30.16,76.45,9.31,23.86,MODERATE
280.3,49.94,69.42,11.12,26.06,HIGH
116.07,12.1,43.14,4.95,38.0,LOW
184.44,47.57,48.27,9.41,25.54,MODERATE
180.86,53.41,62.17,10.49,16.4,MODERATE
94.98,46.88,43.94,9.08,17.72,MODERATE
117.8,42.74,39.84,8.12,22.97,MODERATE
133.88,26.23,43.9,6.51,16.52,LOW
192.83,37.36,60.88,10.15,23.2,MODERATE
82.18,25.63,36.13,9.97,37.35,LOW
77.13,29.76,40.16,6.54,20.93,LOW
130.39,37.65,51.65,9.76,17.48,MODERATE
73.89,27.14,31.02,7.23,22.75,LOW
185.07,48.74,51.9,10.06,23.38,MODERATE
211.07,41.08,67.93,12.96,18.07,MODERATE
133.99,37.09,43.23,12.26,16.57,MODERATE
168.13,30.8,52.9,7.99,32.14,MODERATE
254.76,33.61,75.29,10.96,27.0,MODERATE
126.23,44.64,50.57,10.14,21.1,MODERATE
195.23,61.77,60.04,11.76,17.07,MODERATE
103.91,54.05,33.16,8.63,20.9,LOW
200.61,22.68,73.51,12.22,16.64,MODERATE
88.31,17.03,46.67,7.78,20.52,LOW
110.2,58.17,31.1,8.49,36.4,MODERATE
73.14,39.48,23.8,6.04,25.43,LOW
72.14,42.97,24.58,10.1,20.29,MODERATE
103.96,23.6,44.66,6.06,28.08,LOW
85.64,56.35,48.52,11.27,18.42,MODERATE
12.34,25.09,13.67,3.99,21.57,LOW
192.03,24.69,58.6,7.21,12.87,MODERATE
119.37,33.58,35.24,6.27,31.64,MODERATE
153.05,28.24,62.27,8.51,22.79,MODERATE
146.89,43.14,53.91,8.75,19.09,MODERATE
107.56,43.81,32.07,8.31,27.9,MODERATE
117.06,36.6,23.93,7.14,17.71,MODERATE
77.01,28.38,40.24,6.76,18.08,LOW
187.72,38.17,51.72,9.99,21.73,MODERATE
76.38,60.31,38.55,10.12,16.81,MODERATE
135.61,14.89,47.18,6.11,20.08,LOW
147.88,18.41,32.86,5.25,22.81,MODERATE
106.46,41.03,31.97,7.51,23.35,MODERATE
14.14,19.78,15.28,8.36,16.05,LOW
51.54,19.05,20.93,5.3,22.53,LOW
102.79,26.3,38.54,6.28,27.48,LOW
63.1,34.51,32.09,8.0,28.48,LOW
293.25,40.07,93.83,12.11,21.01,HIGH
97.61,31.64,40.25,6.59,22.87,LOW
17.97,62.29,30.88,9.67,22.51,MODERATE
46.63,28.35,21.44,6.64,15.65,LOW
219.68,39.99,72.65,10.52,20.76,HIGH
259.23,35.88,68.98,12.16,28.78,MODERATE
41.77,21.3,16.85,4.21,28.87,LOW
55.56,23.61,19.55,4.57,26.47,LOW
114.9,11.49,19.14,12.2,8.03,LOW
101.17,30.57,44.09,7.57,19.31,LOW
213.7,34.75,51.69,10.06,26.81,MODERATE
134.43,23.04,55.84,9.22,34.27,MODERATE
123.55,10.52,40.79,8.23,23.91,LOW
75.49,28.73,19.17,4.54,24.58,LOW
112.26,23.44,30.75,5.28,23.32,MODERATE
124.03,40.7,43.81,9.77,16.16,MODERATE
228.84,36.33,50.31,8.9,26.11,MODERATE
223.81,43.42,68.96,11.09,14.87,MODERATE
93.37,6.84,23.41,2.83,23.49,LOW
122.8,12.06,36.1,4.59,24.53,LOW
71.96,49.23,32.42,8.62,24.3,LOW
56.22,12.75,31.11,4.25,16.21,LOW
68.63,43.14,36.48,7.59,19.75,LOW
153.98,19.29,38.42,5.14,28.13,MODERATE
171.61,9.8,50.29,5.26,24.44,MODERATE
81.04,15.24,41.57,7.05,19.79,LOW
127.09,20.34,40.49,7.18,17.57,LOW
104.91,33.57,40.44,6.66,28.82,LOW
158.22,16.99,51.11,6.13,24.21,MODERATE
107.47,30.99,49.05,8.26,17.22,MODERATE
36.12,14.65,19.22,3.59,22.87,LOW
